time_min,detector_id,background_expected_counts,signal_expected_counts,total_expected_counts,observed_counts,scenario
0,D001,7200.0,0.0,7200.0,7272,background_only
1,D001,7200.0,0.0,7200.0,7304,background_only
2,D001,7200.0,0.0,7200.0,7067,background_only
3,D001,7200.0,0.0,7200.0,7268,background_only
4,D001,7200.0,0.0,7200.0,7089,background_only
5,D001,7200.0,0.0,7200.0,7168,background_only
6,D001,7200.0,0.0,7200.0,7235,background_only
7,D001,7200.0,0.0,7200.0,7186,background_only
8,D001,7200.0,0.0,7200.0,7213,background_only
9,D001,7200.0,0.0,7200.0,7291,background_only
10,D001,7200.0,0.0,7200.0,7267,background_only
11,D001,7200.0,0.0,7200.0,7273,background_only
12,D001,7200.0,0.0,7200.0,7192,background_only
13,D001,7200.0,0.0,7200.0,7102,background_only
14,D001,7200.0,0.0,7200.0,7157,background_only
15,D001,7200.0,0.0,7200.0,7193,background_only
16,D001,7200.0,0.0,7200.0,7090,background_only
17,D001,7200.0,0.0,7200.0,7128,background_only
18,D001,7200.0,0.0,7200.0,7185,background_only
19,D001,7200.0,0.0,7200.0,7250,background_only
20,D001,7200.0,0.0,7200.0,7293,background_only
21,D001,7200.0,0.0,7200.0,7173,background_only
22,D001,7200.0,0.0,7200.0,7245,background_only
23,D001,7200.0,0.0,7200.0,7119,background_only
24,D001,7200.0,0.0,7200.0,7276,background_only
25,D001,7200.0,0.0,7200.0,7252,background_only
26,D001,7200.0,0.0,7200.0,7190,background_only
27,D001,7200.0,0.0,7200.0,7095,background_only
28,D001,7200.0,0.0,7200.0,7242,background_only
29,D001,7200.0,0.0,7200.0,7216,background_only
30,D001,7200.0,0.0,7200.0,7233,background_only
31,D001,7200.0,0.0,7200.0,7214,background_only
32,D001,7200.0,0.0,7200.0,7124,background_only
33,D001,7200.0,0.0,7200.0,7302,background_only
34,D001,7200.0,0.0,7200.0,7024,background_only
35,D001,7200.0,0.0,7200.0,7148,background_only
36,D001,7200.0,0.0,7200.0,7214,background_only
37,D001,7200.0,0.0,7200.0,7241,background_only
38,D001,7200.0,0.0,7200.0,7286,background_only
39,D001,7200.0,0.0,7200.0,7256,background_only
40,D001,7200.0,0.0,7200.0,7105,background_only
41,D001,7200.0,0.0,7200.0,7101,background_only
42,D001,7200.0,0.0,7200.0,7187,background_only
43,D001,7200.0,0.0,7200.0,7150,background_only
44,D001,7200.0,0.0,7200.0,7166,background_only
45,D001,7200.0,0.0,7200.0,7335,background_only
46,D001,7200.0,0.0,7200.0,7273,background_only
47,D001,7200.0,0.0,7200.0,7188,background_only
48,D001,7200.0,0.0,7200.0,7069,background_only
49,D001,7200.0,0.0,7200.0,7189,background_only
50,D001,7200.0,0.0,7200.0,7151,background_only
51,D001,7200.0,0.0,7200.0,7111,background_only
52,D001,7200.0,0.0,7200.0,7267,background_only
53,D001,7200.0,0.0,7200.0,7184,background_only
54,D001,7200.0,0.0,7200.0,7220,background_only
55,D001,7200.0,0.0,7200.0,7058,background_only
56,D001,7200.0,0.0,7200.0,6984,background_only
57,D001,7200.0,0.0,7200.0,7158,background_only
58,D001,7200.0,0.0,7200.0,7074,background_only
59,D001,7200.0,0.0,7200.0,7219,background_only
60,D001,7200.0,0.0,7200.0,7222,background_only
61,D001,7200.0,0.0,7200.0,7416,background_only
62,D001,7200.0,0.0,7200.0,7275,background_only
63,D001,7200.0,0.0,7200.0,7197,background_only
64,D001,7200.0,0.0,7200.0,7369,background_only
65,D001,7200.0,0.0,7200.0,7194,background_only
66,D001,7200.0,0.0,7200.0,7158,background_only
67,D001,7200.0,0.0,7200.0,7185,background_only
68,D001,7200.0,0.0,7200.0,7290,background_only
69,D001,7200.0,0.0,7200.0,7095,background_only
70,D001,7200.0,0.0,7200.0,7077,background_only
71,D001,7200.0,0.0,7200.0,7145,background_only
72,D001,7200.0,0.0,7200.0,7258,background_only
73,D001,7200.0,0.0,7200.0,7077,background_only
74,D001,7200.0,0.0,7200.0,7129,background_only
75,D001,7200.0,0.0,7200.0,7213,background_only
76,D001,7200.0,0.0,7200.0,7292,background_only
77,D001,7200.0,0.0,7200.0,7154,background_only
78,D001,7200.0,0.0,7200.0,7147,background_only
79,D001,7200.0,0.0,7200.0,7137,background_only
80,D001,7200.0,0.0,7200.0,7106,background_only
81,D001,7200.0,0.0,7200.0,7184,background_only
82,D001,7200.0,0.0,7200.0,7323,background_only
83,D001,7200.0,0.0,7200.0,7322,background_only
84,D001,7200.0,0.0,7200.0,7204,background_only
85,D001,7200.0,0.0,7200.0,7271,background_only
86,D001,7200.0,0.0,7200.0,7169,background_only
87,D001,7200.0,0.0,7200.0,7263,background_only
88,D001,7200.0,0.0,7200.0,7367,background_only
89,D001,7200.0,0.0,7200.0,7086,background_only
90,D001,7200.0,0.0,7200.0,7101,background_only
91,D001,7200.0,0.0,7200.0,7224,background_only
92,D001,7200.0,0.0,7200.0,7118,background_only
93,D001,7200.0,0.0,7200.0,7200,background_only
94,D001,7200.0,0.0,7200.0,7091,background_only
95,D001,7200.0,0.0,7200.0,7086,background_only
96,D001,7200.0,0.0,7200.0,7249,background_only
97,D001,7200.0,0.0,7200.0,7119,background_only
98,D001,7200.0,0.0,7200.0,7254,background_only
99,D001,7200.0,0.0,7200.0,7091,background_only
100,D001,7200.0,0.0,7200.0,7355,background_only
101,D001,7200.0,0.0,7200.0,7150,background_only
102,D001,7200.0,0.0,7200.0,7240,background_only
103,D001,7200.0,0.0,7200.0,7146,background_only
104,D001,7200.0,0.0,7200.0,7233,background_only
105,D001,7200.0,0.0,7200.0,7095,background_only
106,D001,7200.0,0.0,7200.0,7362,background_only
107,D001,7200.0,0.0,7200.0,7192,background_only
108,D001,7200.0,0.0,7200.0,7291,background_only
109,D001,7200.0,0.0,7200.0,7130,background_only
110,D001,7200.0,0.0,7200.0,7226,background_only
111,D001,7200.0,0.0,7200.0,7225,background_only
112,D001,7200.0,0.0,7200.0,7169,background_only
113,D001,7200.0,0.0,7200.0,7237,background_only
114,D001,7200.0,0.0,7200.0,7189,background_only
115,D001,7200.0,0.0,7200.0,7131,background_only
116,D001,7200.0,0.0,7200.0,7286,background_only
117,D001,7200.0,0.0,7200.0,7038,background_only
118,D001,7200.0,0.0,7200.0,7098,background_only
119,D001,7200.0,0.0,7200.0,7153,background_only
